Ref,Val,Package,PosX,PosY,Rot,Side
"C1","2.2uF 450V","C_2220_5750Metric",22.000000,53.000000,-90.000000,top
"C2","100nF 450V","C_1206_3216Metric",26.500000,53.000000,-90.000000,top
"C3","100nF","C_0402_1005Metric",91.000000,72.000000,90.000000,top
"C4","1uF","C_0402_1005Metric",34.500000,13.000000,180.000000,top
"C5","100nF","C_0402_1005Metric",34.500000,11.500000,0.000000,top
"C6","2.2uF","C_0603_1608Metric",34.500000,58.000000,-90.000000,top
"C7","47uF","C_1206_3216Metric",45.500000,53.000000,-90.000000,top
"C8","47uF","C_1206_3216Metric",48.000000,53.000000,-90.000000,top
"C9","22uF","C_0805_2012Metric",53.000000,53.000000,-90.000000,top
"C10","22uF","C_0805_2012Metric",50.500000,53.000000,-90.000000,top
"C11","100nF","C_0402_1005Metric",54.750000,53.000000,-90.000000,top
"C12","330nF","C_0603_1608Metric",31.500000,67.000000,0.000000,top
"C13","1uF","C_0402_1005Metric",31.500000,76.000000,0.000000,top
"C14","1uF","C_0402_1005Metric",40.500000,68.000000,180.000000,top
"C15","1uF","C_0402_1005Metric",40.500000,76.000000,180.000000,top
"C16","1uF","C_0402_1005Metric",11.000000,8.000000,90.000000,top
"C17","100nF","C_0402_1005Metric",31.500000,77.000000,0.000000,top
"C18","100nF","C_0402_1005Metric",35.500000,72.000000,90.000000,top
"C25","100nF","C_0402_1005Metric",19.000000,8.000000,90.000000,top
"C26","22uF","C_0805_2012Metric",11.500000,20.500000,-90.000000,top
"C27","22nF","C_0402_1005Metric",15.000000,18.500000,180.000000,top
"C28","22uF","C_0805_2012Metric",19.000000,16.500000,0.000000,top
"C29","1uF","C_0402_1005Metric",15.500000,4.000000,0.000000,top
"C30","100nF","C_0402_1005Metric",26.500000,11.500000,180.000000,top
"C31","1uF","C_0402_1005Metric",15.500000,14.000000,0.000000,top
"D1","SMBJ350CA","D_SMB",16.500000,53.000000,90.000000,top
"D2","ES10J","D_SMC",14.000000,66.000000,180.000000,top
"D3","ES10J","D_SMC",14.000000,73.500000,180.000000,top
"D4","SURS8360BT3G","D_SMB",26.500000,62.000000,90.000000,top
"D5","BZT52C10","D_SOD-123",34.500000,53.000000,90.000000,top
"D6","1N4148W","D_SOD-123",84.000000,72.000000,-90.000000,top
"D7","SURS8360BT3G","D_SMB",40.500000,53.000000,90.000000,top
"D8","LED","LED_0603_1608Metric",5.000000,19.500000,0.000000,top
"D9","LED","LED_0603_1608Metric",5.000000,25.000000,0.000000,top
"D10","LED","LED_0603_1608Metric",5.000000,14.000000,0.000000,top
"FID1","Fiducial","Fiducial_1mm_Mask2mm",10.000000,85.000000,0.000000,top
"FID2","Fiducial","Fiducial_1mm_Mask2mm",95.000000,80.000000,0.000000,top
"FID3","Fiducial","Fiducial_1mm_Mask2mm",90.000000,5.000000,0.000000,top
"FID4","Fiducial","Fiducial_1mm_Mask2mm",5.000000,10.000000,0.000000,top
"L1","1mH >600mA","L_Bourns_SRN8040TA",40.500000,61.500000,0.000000,top
"L2","10uH","L_FTC252010S4R7MBCA",15.000000,16.500000,0.000000,top
"Q1","BSS138","SOT-23",88.000000,72.000000,180.000000,top
"Q2","IRF740STRLPBF","TO-263-2",52.000000,9.000000,0.000000,top
"R1","10k","R_0402_1005Metric",34.500000,6.500000,180.000000,top
"R2","1k","R_0402_1005Metric",45.500000,72.000000,90.000000,top
"R3","10k","R_0402_1005Metric",47.000000,72.000000,90.000000,top
"R4","1R","R_1206_3216Metric",31.000000,57.500000,90.000000,top
"R5","10R","R_0402_1005Metric",38.500000,9.950000,0.000000,top
"R6","10k","R_0402_1005Metric",38.500000,8.050000,0.000000,top
"R7","12k","R_0402_1005Metric",8.000000,19.500000,180.000000,top
"R8","15k","R_0402_1005Metric",8.000000,25.000000,180.000000,top
"R9","5k","R_0402_1005Metric",8.000000,14.000000,180.000000,top
"R10","82k","R_2512_6332Metric",15.000000,40.000000,0.000000,top
"R11","82k","R_2512_6332Metric",47.000000,45.000000,180.000000,top
"R12","82k","R_2512_6332Metric",47.000000,25.000000,180.000000,top
"R13","82k","R_2512_6332Metric",23.000000,40.000000,0.000000,top
"R14","82k","R_2512_6332Metric",39.000000,45.000000,180.000000,top
"R15","82k","R_2512_6332Metric",39.000000,25.000000,180.000000,top
"R16","82k","R_2512_6332Metric",31.000000,40.000000,0.000000,top
"R17","82k","R_2512_6332Metric",31.000000,45.000000,180.000000,top
"R18","82k","R_2512_6332Metric",31.000000,25.000000,180.000000,top
"R19","82k","R_2512_6332Metric",39.000000,40.000000,0.000000,top
"R20","82k","R_2512_6332Metric",23.000000,45.000000,180.000000,top
"R21","82k","R_2512_6332Metric",23.000000,25.000000,180.000000,top
"R22","10k","R_1206_3216Metric",47.000000,40.000000,180.000000,top
"R23","10k","R_1206_3216Metric",15.000000,45.000000,0.000000,top
"R24","10k","R_1206_3216Metric",15.000000,25.000000,0.000000,top
"R25","110k","R_0402_1005Metric",19.500000,21.000000,90.000000,top
"R26","15k","R_0402_1005Metric",18.500000,21.000000,-90.000000,top
"R27","22k","R_0402_1005Metric",19.000000,14.000000,0.000000,top
"R28","22k","R_0402_1005Metric",19.000000,4.000000,0.000000,top
"R29","10k","R_0402_1005Metric",26.500000,14.000000,180.000000,top
"R30","10k","R_0402_1005Metric",26.500000,4.000000,180.000000,top
"R31","82k","R_2512_6332Metric",15.000000,30.000000,0.000000,top
"R32","82k","R_2512_6332Metric",23.000000,30.000000,0.000000,top
"R33","82k","R_2512_6332Metric",31.000000,30.000000,0.000000,top
"R35","82k","R_2512_6332Metric",39.000000,30.000000,0.000000,top
"R36","10k","R_1206_3216Metric",47.000000,30.000000,180.000000,top
"R37","82k","R_2512_6332Metric",15.000000,35.000000,0.000000,top
"R38","82k","R_2512_6332Metric",23.000000,35.000000,0.000000,top
"R39","82k","R_2512_6332Metric",31.000000,35.000000,0.000000,top
"R41","82k","R_2512_6332Metric",39.000000,35.000000,0.000000,top
"R42","10k","R_1206_3216Metric",47.000000,35.000000,180.000000,top
"U1","OPA2197xD","SOIC-8_3.9x4.9mm_P1.27mm",40.500000,72.000000,180.000000,top
"U2","EG1120","SOT-23-3",31.000000,53.000000,90.000000,top
"U3","UCC27517DBVR","SOT-23-5",34.500000,9.000000,0.000000,top
"U4","L7812","TO-252-2",27.760000,72.000000,180.000000,top
"U5","OPA2197xD","SOIC-8_3.9x4.9mm_P1.27mm",15.000000,9.000000,-90.000000,top
"U6","MT2492","SOT-23-6",15.000000,21.000000,180.000000,top
"U7","SN74LVC2G02DCUR","VSSOP-8_2.3x2mm_P0.5mm",26.500000,9.000000,0.000000,top
